case_id,kind,is_control,planted_class,planted_check,verdict_passed,blocking_findings,fired_checks,outcome
control_model_clean_a,FINANCIAL_MODEL,True,,,True,0,,true_pass
control_model_clean_b,FINANCIAL_MODEL,True,,,True,0,,true_pass
control_deck_clean,SLIDE_DECK,True,,,True,0,,true_pass
control_document_clean,BUSINESS_DOCUMENT,True,,,True,0,,true_pass
plant_balance_off_by_0_01,FINANCIAL_MODEL,False,PURE_LOGIC,ACCOUNTING_IDENTITY,False,1,ACCOUNTING_IDENTITY,caught
plant_numeric_recompute_mismatch,FINANCIAL_MODEL,False,MECHANICAL,NUMERIC_RECOMPUTE,False,1,NUMERIC_RECOMPUTE,caught
plant_spec_value_altered,FINANCIAL_MODEL,False,MECHANICAL,SPEC_ROUND_TRIP,False,1,SPEC_ROUND_TRIP,caught
plant_spec_value_missing,FINANCIAL_MODEL,False,MECHANICAL,SPEC_ROUND_TRIP,False,1,SPEC_ROUND_TRIP,caught
plant_spec_value_extra,FINANCIAL_MODEL,False,MECHANICAL,SPEC_ROUND_TRIP,False,1,SPEC_ROUND_TRIP,caught
plant_orphan_constant_cell,FINANCIAL_MODEL,False,MECHANICAL,FAST_LINT,False,1,FAST_LINT,caught
plant_inconsistent_row,FINANCIAL_MODEL,False,MECHANICAL,FAST_LINT,False,1,FAST_LINT,caught
plant_missing_line_item,FINANCIAL_MODEL,False,OMISSION,FAST_LINT,False,1,FAST_LINT,caught
plant_missing_ibcs_notation,SLIDE_DECK,False,PURE_LOGIC,IBCS_SUCCESS,False,1,IBCS_SUCCESS,caught
plant_missing_units,SLIDE_DECK,False,PURE_LOGIC,IBCS_SUCCESS,False,1,IBCS_SUCCESS,caught
plant_truncated_axis,SLIDE_DECK,False,PURE_LOGIC,VISUAL_INTEGRITY,False,1,VISUAL_INTEGRITY,caught
plant_overlapping_elements,SLIDE_DECK,False,PURE_LOGIC,VISUAL_INTEGRITY,False,1,VISUAL_INTEGRITY,caught
plant_clipped_content,SLIDE_DECK,False,PURE_LOGIC,VISUAL_INTEGRITY,False,1,VISUAL_INTEGRITY,caught
plant_corrupt_ooxml,FINANCIAL_MODEL,False,MECHANICAL,FILE_OPENS_CLEAN,False,1,FILE_OPENS_CLEAN,caught
